Name,Flared,Weird
Abell0209,Maybe?,
Abell0521,Y,
Abell0586,Maybe?,
Abell0750,Extreme,
Abell0781,Y,
Abell1758N,Y,
Abell2261,,Y - Dark image
Abell2645,Maybe?,
RXCJ1212.3-1816,Maybe?,
ZwCl1231.4+1007,Maybe?,
