name,Mhy500,Mhy500-,Mhy500+,Mg500,Mg500-,Mg500+,Mhy2500,Mhy2500-,Mhy2500+,Mg2500,Mg2500-,Mg2500+,Mhy500_wraderr,Mhy500_wraderr-,Mhy500_wraderr+,Mg500_wraderr,Mg500_wraderr-,Mg500_wraderr+,Mhy2500_wraderr,Mhy2500_wraderr-,Mhy2500_wraderr+,Mg2500_wraderr,Mg2500_wraderr-,Mg2500_wraderr+
SDSSXCS-124,7.63449120781393,1.2862891151054328,1.0293182931714888,0.8699139803134202,0.0028409559145693756,0.005951363055270938,2.621328949034367,0.1122395715140319,0.1379750168277566,0.3217440983067948,0.0007216586472901173,0.0007343426025007814,7.63556228337295,1.285473557655724,1.0412613753764315,0.8703897991393255,0.01566209946412422,0.01622315619056375,2.6214616158666146,0.11337963947545034,0.13866805732547346,0.3216966365753919,0.007076098744610119,0.007249866838423322
SDSSXCS-2789,7.820373926737172,1.2597553929628051,1.4472117731031027,0.21860335141047987,0.0024907278771495707,0.002496081840178008,1.6029259915149567,0.1019294469698219,0.10931097692122377,0.09741363083960392,0.0003238598022146485,0.0003285565435833399,7.823912113436316,1.268243807332859,1.4562247360338227,0.21849854658978612,0.0028742091501732818,0.0029627163681804694,1.6028102771073516,0.10219466803865813,0.11015304865538159,0.09739944952443716,0.0018193276285897073,0.0017374581223693949
SDSSXCS-290,2.9616038322394793,0.36982704589028725,0.38252296931615193,0.4279687148386201,0.0021317948890726564,0.0020983848578225,1.4674294023835108,0.17560312951696097,0.2904652088407019,0.13415374681550699,0.0007589339729388868,0.0007731981197191212,2.9597920345760493,0.3902932271563516,0.42084921390264257,0.42747813921619865,0.01945407376971258,0.019887039407305237,1.469441440337866,0.177871362064433,0.28824707283274065,0.1341329163268674,0.00583861491311129,0.005993496300818634
SDSSXCS-1018,5.0679584441400936,1.0152696434707358,0.9693620003153564,0.2102081404422255,0.0019291687696871879,0.0019171617998883597,1.1288919797730397,0.1035031589761022,0.1499127521926316,0.08437096035581215,0.00034986225579672857,0.00035947912071372076,5.072697355839282,1.0308047015123751,0.9739243841861451,0.21005935196952652,0.003374147195863243,0.003431240537115235,1.128618926630438,0.10401110464478408,0.14985950574958393,0.08435006322518276,0.0023272844511412405,0.0023301475985317193
SDSSXCS-134,6.802619380284269,0.7825660480765538,0.7728186534028538,0.7672904703451527,0.0021486328289490628,0.0021703753083987505,3.043224562128578,0.11330435276679314,0.11034058579324814,0.3139447396156829,0.00035869046773710946,0.0003665724816571485,6.803511362089486,0.7889955982074613,0.7813716164743889,0.7671570639707495,0.010865865360957658,0.010814309512440314,3.042066775867568,0.1258778291181875,0.12454941310721064,0.3139113649292585,0.007264700850212618,0.007067511029406173
SDSSXCS-119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SDSSXCS-209,9.485744822450648,1.0183068717205463,1.0260307370818877,0.792279840638856,0.002268526354509219,0.0022821384979268755,3.9603278584867443,0.19660002361276627,0.21811610358339503,0.33865947547552017,0.0004966850391303907,0.0005019144877730079,9.496627636455761,1.0692605137205164,1.0535278258194338,0.792261545959307,0.012094417312701564,0.011850086179839221,3.961525288112623,0.20297372537721003,0.21888825071289317,0.33848707299184366,0.00876602279859383,0.008774582360433283
SDSSXCS-15,4.630911194598248,1.0146959304566938,1.0688124180347944,0.14354568076711735,0.0007164095916869532,0.0007176291490142384,0.5028496960549355,0.11868859837702166,0.10371562891026775,0.047396049136683896,0.00010081185302359377,0.00010330764774104494,4.626478680285309,1.0701446086724264,1.0979640019726664,0.14354190195889382,0.006864553439515587,0.005398960769066309,0.5032250520327082,0.12060006048547549,0.10652956125742173,0.04739118128938884,0.0024485550827055376,0.0024523998509785355
SDSSXCS-71,5.687966384354187,0.5209740785315344,0.51683595541835,0.8743395927206401,0.0027397467533850006,0.0027582562852707816,0.7554014056543857,0.2367758625950809,0.19272089529453518,0.17992966586945366,0.0006137621234270704,0.0006196468990360548,5.6854060195708085,0.5260786102614176,0.5195877765035414,0.8743156822154748,0.023003008898067192,0.023472424432373285,0.7557297109321659,0.23658035518838458,0.19153229763559487,0.17989527221788212,0.004613879490168985,0.004791597493708439
SDSSXCS-5020,4.2280679702041155,2.058088737766124,2.4646802686369167,0.06577872998125896,0.0013429561568020607,0.001321397027337676,1.6560719795674108,0.261240243004615,0.2791843665299516,0.04119459935694312,0.0004710748594111524,0.00046924582299718757,4.202132188564733,2.0586897616912068,2.5237487833026355,0.06571100014262914,0.0015218664738586819,0.0015197813616133695,1.6542873414348893,0.25925177715102676,0.27949984677687756,0.04118068015447342,0.0017528670488937551,0.0016971701579453079
