name,Tx_300kpc,Tx_300kpc-,Tx_300kpc+,Lx52_300kpc,Lx52_300kpc-,Lx52_300kpc+,Lxbol_300kpc,Lxbol_300kpc-,Lxbol_300kpc+
XLSSC-94,4.23982,0.757080073,0.9460176770000004,1.5800928110000002e+44,1.463867758341313e+43,1.775443855873111e+43,4.694600586e+44,6.72638686339799e+43,4.42661151036806e+43
XLSSC-96,3.23895,0.5400230079999999,0.744324599,3.70791534e+43,4.373890162268481e+42,3.14792087159134e+42,9.777226076000001e+43,1.310422669608205e+43,9.636063187920361e+42
XLSSC-102,3.54698,0.8328183789999999,1.2558073149999998,1.2665010930000001e+44,1.4513678988568542e+43,1.55918173698864e+43,3.431493769e+44,4.622051490157963e+43,4.791957804628782e+43
XLSSC-106,3.44384,0.3607417869999998,0.4441262860000003,2.5796317270000006e+43,1.13836623849398e+42,1.4948830089098e+42,7.038343942000001e+43,6.049426317534971e+42,4.35003110594501e+42
XLSSC-107,2.64447,0.3781314090000003,0.5011564709999998,3.5196899770000005e+43,2.87707197157136e+42,3.85914402058632e+42,8.537257218e+43,1.128644349447026e+43,8.677089148609972e+42
XLSSC-100,5.10608,0.670196625,0.927885773,1.241382762e+44,1.414168935203726e+43,1.5355262231354292e+43,4.069973965e+44,6.621357823525093e+43,4.839619460153456e+43
XLSSC-93,3.1236,0.3467254250000002,0.442825746,4.4203561550000004e+43,4.0942880311598203e+42,1.6530469923874502e+42,1.1503915460000002e+44,1.5574366034972382e+43,4.0447301215846504e+42
XLSSC-108,2.25643,0.2541617540000001,0.355373804,1.616165452e+43,1.8776337129895202e+42,2.4652575602122103e+42,3.7521159770000004e+43,5.76623164715187e+42,4.8772848752911104e+42
XLSSC-95,0.96483,0.0599804498999999,0.0560479569999999,1.718582354e+42,2.0970149420902002e+41,2.0553492389762e+41,2.9274503160000004e+42,4.243832815304601e+41,4.9465397158222e+41
XLSSC-92,2.73934,0.5909557510000001,0.914213557,2.167946461e+43,2.3055880928786602e+42,3.6326706135240403e+42,5.335692828000001e+43,8.562308675689631e+42,8.257959807095231e+42
XLSSC-101,3.96606,0.619340803,0.7967661800000001,1.178522189e+44,1.2670929636529753e+43,1.5413694544038452e+43,3.3996379050000003e+44,4.718460144968862e+43,3.0523781383378306e+43
XLSSC-109,3.04847,0.4990325439999998,0.6739204120000002,3.9167179790000006e+43,3.27031588688007e+42,4.2608827811363505e+42,1.006627778e+44,1.3734483789544242e+43,1.0382801796508691e+43
XLSSC-112,1.81042,0.0912175869999998,0.116768325,6.465483711e+42,3.548955902619201e+41,3.0196234299029003e+41,1.4051967360000002e+43,9.307714320204002e+41,8.359235380012002e+41
XLSSC-83,5.06313,1.0429052409999997,1.5846980529999994,2.4112295080000005e+43,2.0292735643865403e+42,2.45468709268761e+42,7.927590884e+43,1.378189291775242e+43,9.83003174909565e+42
XLSSC-84,1.6105,0.205915147,0.360105272,1.409526612e+43,2.1470491463897802e+42,2.7677779519095302e+42,2.8776030740000005e+43,4.6635404724315007e+42,5.63849067540552e+42
XLSSC-85,3.5179,0.7125465960000001,0.871175773,2.374208573e+43,2.11328372683584e+42,2.8807336481115503e+42,6.520683324e+43,1.0586659863617201e+43,6.84998390528723e+42
XLSSC-111,4.28672,0.4554924049999997,0.5405278349999998,4.1998744290000003e+43,1.85224260865547e+42,2.29859075279801e+42,1.271245089e+44,1.1207719534810571e+43,8.57176687903849e+42
XLSSC-98,2.43604,0.3304000550000001,0.4977648929999998,1.1100568570000001e+43,9.2699075020173e+41,1.2609660228109301e+42,2.6226564910000003e+43,4.47241833740734e+42,1.76119883059027e+42
XLSSC-99,2.78648,0.415918526,0.5565306419999998,1.563851931e+43,1.91420391044128e+42,1.2859426389021102e+42,3.8823563890000006e+43,5.467964238813551e+42,4.582602895785521e+42
XLSSC-97,4.30367,0.4215689160000004,0.5127385819999999,8.202364962000001e+43,4.7233214058387505e+42,5.55858664991981e+42,2.4652847850000004e+44,1.836826634360197e+43,1.3908625414630903e+43
XLSSC-110,2.11904,0.2349652749999999,0.3209651839999998,1.268995014e+43,1.7825184883342604e+42,1.02239532078816e+42,2.833669674e+43,4.48729182021989e+42,4.05574145297533e+42
XLSSC-60,4.84231,0.1514152860000006,0.1661260059999998,3.727151181000001e+43,4.149374766492001e+41,4.9909663734823e+41,1.1997261210000002e+44,2.8260979411536e+42,2.30455929649501e+42
XLSSC-72,4.92933,0.4975282999999999,0.6058840719999994,1.069313186e+44,6.286397659145891e+42,6.472159491427521e+42,3.4338583840000002e+44,2.935747005537876e+43,2.343761195714689e+43
XLSSC-56,3.20008,0.3950207999999997,0.4761860810000002,2.663814555e+43,2.07996348072064e+42,1.5315646408579203e+42,7.024352630000001e+43,6.76085912646378e+42,5.1865453046515e+42
XLSSC-57,2.07359,0.1475940089999998,0.1757009110000003,7.970490267e+42,7.025990996476e+41,9.886525844386902e+41,1.807259915e+43,1.63994690083197e+42,2.11864407022213e+42
XLSSC-23,2.08149,0.227541435,0.3006756849999998,1.162200945e+43,8.589684497373302e+41,1.5121769577929002e+42,2.5921830590000003e+43,3.2976980394891605e+42,2.7239943455694404e+42
XLSSC-6,5.36369,0.1790962890000003,0.1835580380000001,9.101850806e+43,1.58371912134978e+42,1.39259557012162e+42,3.0832799240000004e+44,9.42576497932474e+42,7.212704450648939e+42
XLSSC-61,1.81919,0.2572022600000001,0.3547982449999998,7.986844966e+42,8.162858254942301e+41,1.2841808189019e+42,1.7292618240000002e+43,2.29702914402804e+42,3.54194762047867e+42
XLSSC-36,3.23695,0.3159956510000001,0.3687452179999999,6.640072400000001e+43,5.305478475627161e+42,3.33135208458539e+42,1.752371771e+44,1.7200415192829392e+43,1.36660777993014e+43
XLSSC-29,4.29491,0.2409922849999999,0.2702211750000005,1.109531686e+44,9.0875138972341e+42,1.0544434097689312e+43,3.3064665650000003e+44,3.343656574163023e+43,3.4982541904488605e+43
XLSSC-62,0.926898,0.0518730048,0.0316624514,1.3791714190000001e+42,1.3234561023165002e+41,1.1690634543862e+41,2.3198237580000002e+42,2.1452750456310005e+41,1.8968977554354004e+41
XLSSC-1,3.4094,0.3807184970000001,0.4711956359999996,6.619260228000001e+43,4.9332892972108705e+42,5.0479429817931006e+42,1.7816090430000001e+44,2.1189815337884732e+43,1.113750137504668e+43
XLSSC-54,1.65431,0.1043984639999999,0.131210748,3.487888647000001e+42,3.487888647000001e+42,-3.487888647000001e+42,7.827059934000001e+42,7.827059934000001e+42,-3.24523791019636e+42
XLSSC-25,2.22268,0.1182375040000001,0.1340717740000001,1.3673340270000002e+43,1.3608267004039602e+42,1.42432313188589e+42,3.1579342670000003e+43,2.90070105418032e+42,3.412280792445601e+42
XLSSC-41,1.62912,0.0427643069999998,0.050295274,7.586919100000001e+42,2.3058850650515e+41,3.4801311680726004e+41,1.5953152300000002e+43,9.282357675043302e+41,8.302932356951001e+41
XLSSC-50,3.1865,0.1828806900000001,0.205628763,1.88126682e+43,4.2732757975466e+41,5.443172586186801e+41,5.003340972000001e+43,2.2661599580177402e+42,1.76745248957721e+42
XLSSC-55,2.39177,0.223820351,0.289067497,1.9114607680000003e+43,1.57178725381448e+42,1.2154468220423801e+42,4.510790735e+43,4.30966468781412e+42,4.1758130883944505e+42
XLSSC-52,0.644266,0.0788713075,0.0681050037999999,8.280980441000001e+41,1.7407729403455002e+41,7.009086076326001e+40,1.4025578400000003e+42,2.6696359418156e+41,1.3738121068132003e+41
XLSSC-10,2.21094,0.0946057559999999,0.1077546090000001,1.7461759830000002e+43,2.0155135462867302e+42,1.5461386597897502e+42,3.976725119000001e+43,3.710527044115481e+42,3.18562697577555e+42
XLSSC-103,2.39716,0.406740485,0.624959327,9.915434472000001e+42,6.4249607879398005e+41,1.30285316718352e+42,2.343315605e+43,3.6419142651457104e+42,3.2339789494700905e+42
XLSSC-3,5.71821,0.4125399869999997,0.4726141410000002,8.028523474e+43,3.04698673639049e+42,2.86142407798155e+42,2.8045784130000005e+44,1.549138888064656e+43,1.2726641511508771e+43
XLSSC-22,2.02902,0.074386684,0.0858508269999998,2.44586294e+43,1.54660888079819e+42,9.4641486420906e+41,5.418229206e+43,3.1650821776921504e+42,2.5039378417328804e+42
XLSSC-27,2.33464,0.2276536209999999,0.2977380110000003,1.128305267e+43,2.1619023903415204e+42,1.4940011597116e+42,2.6248408880000003e+43,4.40837557682428e+42,3.32267221608622e+42
XLSSC-90,1.1174,0.0626289019999999,0.068674646,4.315039488e+42,3.4145787332583006e+41,3.6790445108981e+41,7.849083977000001e+42,6.311841164263301e+41,6.2484999845743e+41
XLSSC-89,3.47685,1.181235747,2.1379768449999994,4.2610097130000007e+43,5.826632462933321e+42,7.03421578861244e+42,1.1577229650000002e+44,2.252147759715052e+43,2.453992329516756e+43
XLSSC-104,3.07317,0.4228709370000003,0.5633396839999998,1.2405016230000002e+43,1.38914767268516e+42,1.0214202596552701e+42,3.21929692e+43,4.71350900299746e+42,3.7323198130230004e+42
XLSSC-88,2.14601,0.3292565149999999,0.4855113229999999,1.206724394e+43,9.2632398900127e+41,1.49162503591567e+42,2.724338456e+43,2.91393437291664e+42,3.9184127260301904e+42
XLSSC-87,1.4154,0.0429939589999999,0.048158756,9.266738160000001e+42,5.1465296512615e+41,6.1977386192855005e+41,1.8594286780000002e+43,1.1506317958795301e+42,1.6302959442343002e+42
XLSSC-91,5.02306,0.088328863,0.0887163920000002,7.526436399000001e+43,7.4538859025645e+41,5.921943355828101e+41,2.4652469670000003e+44,2.8287199166973203e+42,3.5849616451323903e+42
XLSSC-105,4.67056,0.1155443390000003,0.116935067,6.357419562e+43,1.2123195815850201e+42,1.1277127454942002e+42,2.0053612970000002e+44,2.86314087244058e+42,4.4340361539533106e+42
XLSSC-502,1.18529,0.044920118,0.0473587669999999,5.327952952000001e+42,3.559605483636501e+41,3.9543752624374005e+41,9.9559395e+42,7.037159681008901e+41,7.464062072094601e+41
XLSSC-530,1.66805,0.1160458740000001,0.1403326089999998,6.539523787e+42,8.0791008060417e+41,1.0372573638863002e+42,1.380277015e+43,2.03485600241387e+42,2.2184833464936802e+42
XLSSC-501,2.54028,0.3461452330000001,0.491071936,1.955129986e+43,1.6785486807426e+42,2.4549210752699802e+42,4.68582706e+43,6.78126296445038e+42,4.8065951882177707e+42
XLSSC-513,5.3105,1.0081910490000006,1.3622148209999994,2.8751814860000005e+43,3.6153995581834904e+42,3.35792465212701e+42,9.688270434000002e+43,1.908207416336451e+43,1.197136148887578e+43
XLSSC-525,3.39224,0.2364938329999999,0.2714186069999997,4.966660488e+43,4.00253293656934e+42,4.0537714004654704e+42,1.3433311910000001e+44,1.3271933838510263e+43,1.325236226793396e+43
XLSSC-528,3.07385,0.4246719920000004,0.5293085029999998,1.362958137e+43,1.22055142444961e+42,1.0268368377115401e+42,3.5352308110000007e+43,4.783363298941741e+42,4.0652157355672005e+42
XLSSC-529,3.74468,0.6153061179999999,0.8304049180000002,4.3647221230000003e+43,4.479590900323101e+42,4.1155044266071103e+42,1.230667207e+44,1.994152420092075e+43,1.1308794273637371e+43
XLSSC-526,2.83436,0.2994255050000003,0.3653305809999998,3.6903893960000003e+43,4.83937654685064e+42,4.310928052136e+42,9.315056766000001e+43,1.1002480674823431e+43,1.382982157474832e+43
XLSSC-544,2.23776,0.1325157830000001,0.1447726869999996,6.166375151000001e+42,4.5382699029127004e+41,3.909504970725e+41,1.4371092750000002e+43,9.046848787595801e+41,1.37125663857705e+42
XLSSC-518,1.26533,0.043762203,0.0754091999999999,6.598279102000001e+42,5.0732614232945e+41,4.9954722057504006e+41,1.2589452740000002e+43,8.275188248820901e+41,1.0108027176124201e+42
XLSSC-531,4.05206,1.669819468,3.717374951,1.563154927e+43,3.3759982315295107e+42,3.13583433015978e+42,4.597205075e+43,1.4199427421476753e+43,1.5138892618150222e+43
