name,Mg500_wraderr,Mg500_wraderr-,Mg500_wraderr+
XLSSC-94,0.08469377406879629,0.007139997464928018,0.007181018565682365
XLSSC-96,0.3664253629521604,0.07973239572833712,0.07841978680491736
XLSSC-102,0.26497164446400684,0.06843068627723614,0.058574824465464616
XLSSC-106,0.15731742464638437,0.023248325230894807,0.021016900891961662
XLSSC-107,0.1274055106506541,0.009145478951028458,0.008200342950475236
XLSSC-100,0.20023497104597748,0.03951444283578077,0.03267696221192629
XLSSC-93,0.3427821177302596,0.07603000362397985,0.0755402452035236
XLSSC-108,0.026211711586768372,0.002599011164430616,0.0027590467339924417
XLSSC-95,nan,nan,nan
XLSSC-92,0.07728997140497215,0.008668119571855802,0.009369701197475606
XLSSC-101,0.26778039501985784,0.02880432698106399,0.022285737575671292
XLSSC-109,0.07447755022878652,0.007805532794444317,0.008423990482931418
XLSSC-112,0.05319453347520585,0.0083582763387955,0.00796981843613843
XLSSC-83,0.19924483861614647,0.04228947100237407,0.04236760062561626
XLSSC-84,nan,nan,nan
XLSSC-85,0.036584721994411123,0.0037648772535032625,0.0039258453074669485
XLSSC-111,0.3123498658565501,0.06173046999038353,0.06610942732114934
XLSSC-98,0.13519597573504183,0.034442122406052565,0.036669667488114496
XLSSC-99,0.08057290084112922,0.004470791016761192,0.004169669523901993
XLSSC-97,0.3802324594433635,0.07501377100124157,0.06662772366895188
XLSSC-110,0.08240219325806176,0.020693376496334546,0.019404390824773247
XLSSC-60,0.20986197831323153,0.010680174291682346,0.006069319109234766
XLSSC-72,0.3790556357459308,0.08806134424027184,0.09192635049495947
XLSSC-56,0.19279483577532522,0.022786196710180767,0.018901616045362463
XLSSC-57,0.05698277825901009,0.010434881453360646,0.011409751148433839
XLSSC-23,0.026875074372156246,0.0020822034681061527,0.002142081806383599
XLSSC-6,0.4764173329554235,0.09000070295208314,0.08635328311450063
XLSSC-61,0.0259124123865173,0.002360111108114063,0.0024023483360881303
XLSSC-36,0.2666932175225119,0.04074243474417083,0.039762882968704186
XLSSC-29,0.3100776076204194,0.06603210050706275,0.06564880884802594
XLSSC-62,0.008769749358043763,0.001879492714670513,0.0020611034706958706
XLSSC-1,0.3120230478471544,0.06540689874916775,0.07151460076439782
XLSSC-54,0.005525819062477096,0.00026034405343915775,0.00028116944768249394
XLSSC-25,0.11460923678035771,0.02330584865903022,0.023753209759861782
XLSSC-41,0.08398436111342572,0.019755225926964895,0.020904689734236995
XLSSC-50,0.14448015495396033,0.014168759220713537,0.009542977087153048
XLSSC-55,0.14542256914345772,0.021062895513729574,0.019045963442166663
XLSSC-52,0.005954039296628513,0.0010776083655506356,0.0010707998273149855
XLSSC-10,0.09602007212638342,0.018318328047034142,0.01924080528700891
XLSSC-103,0.08099593987126204,0.007358246627483731,0.0066769423069980285
XLSSC-3,0.28359491750454136,0.06449145065397392,0.06657075768153818
XLSSC-22,0.08115490885662403,0.01076044554457596,0.01024502624988969
XLSSC-27,0.09243900181077036,0.008412919808957442,0.005899910967511857
XLSSC-90,nan,nan,nan
XLSSC-89,0.1257893358951416,0.021141461012029808,0.018912876917965882
XLSSC-104,0.06455920315791298,0.0033433306917689167,0.003092536880411436
XLSSC-88,0.11798302140462238,0.02053647923904694,0.017941344648299357
XLSSC-87,0.047435131621422974,0.009367114274841276,0.010013721302896584
XLSSC-91,0.32929384751957586,0.021955757896771604,0.013719340705622932
XLSSC-105,0.3069543848667756,0.028856118236721764,0.018718724473186683
XLSSC-502,0.024837272059822425,0.004739134102855159,0.005072896041162711
XLSSC-530,0.0762532851902455,0.017611379696268293,0.019775240273045062
XLSSC-501,0.13187210538532904,0.019908447752245297,0.0172453666827892
XLSSC-513,0.5903355152238037,0.13094420842695198,0.12337805840782877
XLSSC-525,0.18659506003528495,0.032215332556725554,0.03197644375279481
XLSSC-528,0.10336223788587831,0.012347344844689846,0.009763530656099044
XLSSC-529,0.21218387355291105,0.02715133506633856,0.020311105752389806
XLSSC-526,0.06903550506346981,0.0022829219396072954,0.0022648088477341018
XLSSC-544,0.027687353395188075,0.005778604402195501,0.006390003096556349
XLSSC-518,0.003362190290806458,0.0006912696539932155,0.000770550933764673
XLSSC-531,0.24266308577674536,0.0767480231415603,0.07374369693481403
XLSSC-534,0.15913008487822222,0.016177954508552462,0.01532218615337594
XLSSC-517,0.2195007424566942,0.02841876226748766,0.024044959877607817
XLSSC-523,0.11112304289197832,0.014566249185385901,0.013920157458079983
XLSSC-503,0.11868299882779902,0.028482116731914576,0.0323297717389011
XLSSC-545,0.05596130391737075,0.004756818113219063,0.004441965230413457
XLSSC-514,0.04966443165379484,0.01376512498781864,0.015643149057940783
XLSSC-515,0.027673966518246402,0.006466610332427623,0.0071544058838648545
XLSSC-547,0.1683554170679655,0.016664438039316467,0.014060076349553557
XLSSC-535,0.1308510967187173,0.028278331138052486,0.030239411421812894
XLSSC-536,nan,nan,nan
XLSSC-522,0.04923963123101153,0.002702668913546504,0.002530372251039473
XLSSC-533,0.01682548838966984,0.0007450913415438356,0.0007618573598791334
XLSSC-521,0.36604119372012117,0.0823050133947281,0.07919173966744252
XLSSC-505,0.0031015088014065373,0.00013486200737142947,0.00013276077604287416
XLSSC-506,0.17833275472435986,0.02114763056455889,0.01618345532567606
XLSSC-546,0.13417561974220413,0.007122716235524806,0.006290753511001954
XLSSC-512,0.12328979794263287,0.01673805627056219,0.012967282567286175
XLSSC-520,0.05302736772031196,0.008377174313220168,0.008304837893901476
XLSSC-532,0.11996596519893478,0.01439381063997301,0.010552687709585588
XLSSC-519,0.0723507794687893,0.02046305345422222,0.02373474617993435
XLSSC-524,0.05683713604850202,0.006585337037540519,0.005835252517014493
XLSSC-542,0.764333666185163,0.12797653714817134,0.12831548189566971
XLSSC-507,nan,nan,nan
XLSSC-549,0.28559572278106,0.06285981112252642,0.059219449927118445
XLSSC-516,0.1301074570553537,0.009954653521693127,0.008612554313851623
XLSSC-537,0.21482481438815543,0.021671646676172114,0.019077980374291176
XLSSC-548,nan,nan,nan
XLSSC-538,0.06857434750823134,0.008707656273593312,0.008720051141444815
XLSSC-543,0.09717161989309353,0.019591942849034184,0.020306976883511352
XLSSC-541,0.13124103755114427,0.031440053916100066,0.033939899229076136
XLSSC-508,0.30337265088230164,0.08129541518684755,0.07451697343812115
XLSSC-540,0.05692421776238453,0.004513103012726622,0.005004847133950782
XLSSC-539,0.009357160723038618,0.000773127878560973,0.0008026070247537953
XLSSC-509,0.27471074635898235,0.061537115985397316,0.06321311000327658
XLSSC-510,0.022021385280725746,0.0017773107419381156,0.0018939884960997902
XLSSC-511,0.014709916681648503,0.0027670974015144,0.0030055156256292314
