name,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lxbol_500,Lxbol_500-,Lxbol_500+,Tx_2500,Tx_2500-,Tx_2500+,Lx52_2500,Lx52_2500-,Lx52_2500+,Lxbol_2500,Lxbol_2500-,Lxbol_2500+,Tx_500ce,Tx_500ce-,Tx_500ce+,Lx52_500ce,Lx52_500ce-,Lx52_500ce+,Lxbol_500ce,Lxbol_500ce-,Lxbol_500ce+
SDSSXCS-124,6.92,0.1163893680000001,0.1116415189999999,5.3104075980000005e+44,2.4945855333560002e+42,3.19327013879746e+42,2.0397543730000002e+45,2.0820911184788873e+43,1.7123540807193631e+43,7.08946,0.0978225439999995,0.0979290490000002,4.008461328e+44,2.16331236882403e+42,1.88766715140859e+42,1.557704868e+45,1.27800317797594e+43,1.166420194452266e+43,6.78098,0.1343061739999997,0.1582233530000003,3.6848273860000004e+44,2.7022249911711803e+42,2.5729639613522303e+42,1.4015011230000002e+45,1.425780963296088e+43,1.280566759594139e+43
SDSSXCS-2789,4.54033,0.0736000670000001,0.0740225280000004,1.0295754e+44,5.1496037732924e+41,6.8587120871160004e+41,3.2135272460000003e+44,3.9145616655745006e+42,3.1240174851153704e+42,4.44237,0.0574041230000004,0.0577736749999999,7.125319207000001e+43,4.164748502470201e+41,3.793543360267001e+41,2.2012380530000003e+44,1.7674060830661802e+42,1.6425241641440902e+42,4.65452,0.1085999519999996,0.1136768560000005,6.943669408000001e+43,6.482834747264501e+41,5.7737881706433005e+41,2.1926421930000003e+44,2.96049568257943e+42,2.65225132860565e+42
SDSSXCS-290,5.31681,0.297854407,0.3363076139999998,2.856694695e+44,5.91723351191285e+42,7.3229886442124e+42,9.632533325000001e+44,4.0059911986455204e+43,3.2077627949968595e+43,5.41431,0.259989322,0.3096052909999995,2.033266645e+44,4.662930645473331e+42,4.16995291690769e+42,6.920657746e+44,2.21169959012296e+43,1.9835175708518243e+43,5.44819,0.4078993090000002,0.4863398439999997,1.9721037830000004e+44,6.434636253807231e+42,6.092121595034631e+42,6.734042589000001e+44,3.0387734867189395e+43,2.687860682610252e+43
SDSSXCS-1018,3.90154,0.1435436739999995,0.1514980670000003,8.044818734e+43,1.4413219957528203e+42,9.241467571332602e+41,2.335850597e+44,6.38549320179003e+42,4.9243035238072407e+42,4.09555,0.108380893,0.1154295119999995,6.395951942e+43,8.467201105695001e+41,7.602522645011101e+41,1.899849822e+44,3.43609799539905e+42,3.54219003466739e+42,3.93098,0.20728108,0.2304779889999997,5.048986665000001e+43,1.2532819565922702e+42,1.06666314264296e+42,1.471118231e+44,5.740519997689171e+42,4.8713908335602205e+42
SDSSXCS-134,6.72622,0.1165232659999997,0.1165651590000003,4.8118989310000004e+44,2.4585570684880302e+42,3.05043955868031e+42,1.8252955140000003e+45,2.0687572397624132e+43,1.6390575244447761e+43,7.04643,0.1044299520000002,0.1047601,3.8131596030000005e+44,2.1709633189041103e+42,1.87200488169181e+42,1.4797602310000003e+45,1.2631528253630272e+43,1.208754518203109e+43,6.37686,0.1358367209999995,0.1538196000000002,3.4477146990000002e+44,2.7138768246133604e+42,2.4974164250765203e+42,1.2738545370000002e+45,1.41549660289436e+43,1.228583376777232e+43
SDSSXCS-119,4.93456,0.4002678910000004,0.4561730929999994,2.0497886630000004e+44,5.1820315711836706e+42,6.88507491784714e+42,6.654625528000001e+44,4.141700030500329e+43,3.282061442190038e+43,5.41255,0.3977089350000007,0.4482943459999999,1.239172174e+44,3.78505695556763e+42,3.7351441563228606e+42,4.215891915000001e+44,2.155309604646015e+43,1.8707025870889972e+43,4.91222,0.4322414669999999,0.5035577400000006,1.821676236e+44,5.5222106144595106e+42,5.714386208538981e+42,5.900647636000001e+44,3.8224043992520223e+43,2.7729595866584064e+43
SDSSXCS-209,8.02696,0.1918976990000009,0.2116641589999996,4.402877092e+44,2.8394740649369006e+42,2.6334888621411304e+42,1.8181621210000003e+45,2.393212058064319e+43,2.7518093851243753e+43,8.255,0.1813076170000016,0.1814127879999993,3.4406500270000004e+44,2.0889229590003702e+42,1.9800219846013203e+42,1.439632355e+45,1.735344455124308e+43,1.526840096901016e+43,7.57104,0.2332212499999997,0.2848458220000003,3.0058468970000003e+44,3.288577323266171e+42,3.1618982621435806e+42,1.20722112e+45,1.8022752856433371e+43,1.615221601850267e+43
SDSSXCS-15,2.5989,0.1290661969999997,0.1395652649999998,3.3460007960000003e+43,7.691846633958301e+41,5.192754666050701e+41,8.216686817e+43,2.9227903704199006e+42,2.51800499403183e+42,2.65635,0.0955411560000003,0.1035687789999997,1.793764725e+43,2.9388467145446003e+41,2.4719157349834e+41,4.4410374410000003e+43,8.821088947619402e+41,1.0928253434530702e+42,2.56678,0.1468212380000002,0.1644657559999998,2.7617083990000006e+43,7.323926627482801e+41,7.2770718669778e+41,6.750786692000001e+43,2.5648270499551904e+42,2.8318471208595204e+42
SDSSXCS-71,5.79507,0.121297857,0.1164305920000003,2.7011164260000003e+44,1.52727190539738e+42,1.98994239475112e+42,9.496526506000002e+44,1.142601892086906e+43,1.0084184532450172e+43,5.25224,0.0971882049999992,0.09770725,1.394990394e+44,1.0762005795797502e+42,1.0064918632760601e+42,4.67425094e+44,5.658233624767841e+42,5.4229411519833906e+42,6.09105,0.1328569350000004,0.1501796620000002,2.2675260100000004e+44,1.82079187840349e+42,1.73803233338928e+42,8.167785935e+44,8.99047670283626e+42,7.78602252680761e+42
SDSSXCS-5020,3.97144,0.3376156749999999,0.3905387880000002,5.026340643000001e+43,1.4414418847036402e+42,2.00587354398433e+42,1.4732597880000002e+44,9.867880739565451e+42,8.822252799911911e+42,3.66239,0.2101052049999996,0.231370042,3.2963932670000004e+43,1.0097008722321401e+42,9.316470631071401e+41,9.311137710000001e+43,4.3311969005337004e+42,4.20410570894237e+42,4.08198,0.4418358009999998,0.6040496620000004,3.7541207230000007e+43,1.9026454352866503e+42,1.82794313025878e+42,1.1145584100000001e+44,7.898154554162411e+42,8.01398062836341e+42
SDSSXCS-2346,1.31784,0.1211858989999998,0.1766412720000001,6.075893692e+42,1.08761274875539e+42,1.0175002328223402e+42,1.165383905e+43,2.4844084355258703e+42,2.94880892138019e+42,1.08923,0.1590219083999999,0.194001244,5.0297020920000005e+42,8.5892103624643e+41,8.205588552414601e+41,8.936201941e+42,1.8854673948411903e+42,2.3204837108848905e+42,1.32134,0.158818799,0.2039345480000001,5.285702419e+42,1.3336212224220801e+42,1.3501646037473902e+42,1.0147828140000001e+43,2.39912589082299e+42,2.83037401795134e+42
