name,Mg500,Mg500-,Mg500+,Mg2500,Mg2500-,Mg2500+
Abell2697,0.8281780170854333,0.0007508936323264064,0.0007493784685735939,0.2777415916485789,0.00019127732688652347,0.00018956032304976564
Abell0068,0.8337237079374001,0.0015687230662595314,0.0016322244592006253,0.3181651273196035,0.0003338952448951563,0.0003381898630596485
Abell2813,0.8986997269842045,0.0010462974664971877,0.0010243910884537501,0.27661843371538186,0.00023824347354984378,0.00024071719771925784
Abell0115S,0.6511531229809385,0.0006370120519896095,0.0006207039476278908,0.09840107185853306,0.00013254514620279298,0.00014328949252669925
Abell141,0.8139557274088794,0.0006944127524093751,0.0006994014392750002,0.06470661925290624,7.931638424365236e-05,8.217210909407228e-05
ZwCl0104.4+0048,0.283747441963993,0.0004331010546148829,0.00041908451170042976,0.11875830569656651,0.00012607787748341798,0.00012893064419275394
Abell0209,0.922007032397906,0.0007280040095598439,0.0007303937181237501,0.23816564006336316,0.0002017243151576563,0.0002137319557375391
Abell0267,0.5768273701391415,0.0010196983139739064,0.0010564870378378126,0.20372176561773653,0.0002595427303420704,0.00025560752835933597
Abell0291,0.35449606130628913,0.00043082867468117195,0.00042978603998054696,0.1171602080686683,9.858489987310548e-05,0.00010197763525400392
Abell0383,0.411919930193552,0.0003723643299585938,0.0003526704977896094,0.1702593368890559,0.00010280961674427736,0.00010368846661326173
Abell0521,0.8001155504453564,0.0008475014543012501,0.0008478902834706251,0.053194541345328875,5.706938259999024e-05,5.691595299691407e-05
Abell0586,0.5156836549502996,0.0004199288655421094,0.0004106940558608594,0.20878425099100606,0.00010746684563863283,0.00010454510816742189
Abell0611,0.6643476730903983,0.0006481448874562501,0.0006233990486789064,0.23127506229419026,0.0001523412313877344,0.00015418176981660158
Abell0697,1.565747065572349,0.0013771770031453126,0.0013765734894565628,0.4809856391325001,0.0003072906024330469,0.0003042152586214844
ZwCl0857.9+2107,0.34754453851349215,0.0006061488294194532,0.0005930616361451954,0.14020987592779446,0.00017022564417402345,0.0001667033620353516
Abell0750,0.33628800328672187,0.0003694798591776563,0.00038613690299218757,0.1411215739750233,0.00010076124615187501,0.00010185635380021486
Abell0773,0.8767084087498714,0.0009045019452214064,0.0009208219246740626,0.3131771337019731,0.00026027263831875005,0.00026248118006914065
Abell0781,0.8873311117860571,0.0012018855127370314,0.0011709176407623438,0.06897434623919302,9.658779250293947e-05,9.59143958351172e-05
Abell0901,0.26996093731137694,0.00025391641972167975,0.0002432707741631641,0.10550192238023512,6.65870756678711e-05,6.896629393683595e-05
Abell0907,0.5236018955243247,0.0004621790636181251,0.00045117652043328134,0.19652175678485226,0.00012523220082191408,0.00012530681751929688
Abell0963,0.6774456493528829,0.0005474395093393751,0.0005384281361696094,0.263451850156599,0.00016583978360328128,0.00016277166263558597
ZwCl1021.0+0426,1.0399789984467722,0.0003204031068985938,0.0003134193764801563,0.46187719290392115,8.828301082000002e-05,8.932761241492188e-05
Abell1451,0.8523894793777392,0.0017226499333365627,0.001728166313400469,0.22707377890715003,0.0002709106620098438,0.0002661884293377344
ZwCl1231.4+1007,0.7785533885222707,0.0015665596742501565,0.0015535103164243753,0.01697718386354505,3.770214546332764e-05,3.7286768493144536e-05
Abell1689,1.4292924663440036,0.00047293779888000006,0.0004734434602846876,0.5686650524375619,0.00013522534864859377,0.00013966166327546877
Abell1758N,1.04465121484015,0.002062740827311719,0.0021319730638387504,0.16717343694372683,0.00015706491012814456,0.0001479157187981836
Abell1763,1.1347615603766645,0.0010780095257803127,0.0010668005770762502,0.24223619448097708,0.0002700722788964454,0.0002682948520244141
Abell1835,1.685129491884015,0.00029108599932500004,0.00029967938753812503,0.6256464267888058,7.442593200476563e-05,7.702788896867189e-05
Abell1914,1.0144300221108136,0.0007335479774389064,0.0007202599378123438,0.5091106904413276,0.0002032854416024219,0.00019279760933250004
ZwCl1454.8+2233,0.5407603135342516,0.0005908233050469532,0.0005962298861552345,0.21776369947423402,0.00015032180395820315,0.0001492067685071094
Abell2009,0.6692006225595275,0.0003845370128707813,0.0003791307489166407,0.25709667277153686,9.276653547742188e-05,9.084905818828126e-05
ZwCl1459.4+4240,0.6077313192766628,0.0016765665129575783,0.0017310589164185159,0.17495853336727674,0.0002826508638200196,0.0002749078351022266
RXCJ1504.1-0248,1.1882853312061892,0.00023794386998343754,0.00024124094545265628,0.5400014196896293,6.283093105875002e-05,6.277547596140625e-05
Abell2111,0.6518973745490158,0.0010990485339975784,0.0010720543176228126,0.16464682108982384,0.0002650841549812696,0.0002628753313294141
Abell2204,1.2997691738684778,0.00027539436820375003,0.0002695012002010938,0.5358216120529896,7.511418198875001e-05,7.330768192164064e-05
