name,XLSSC,ra,dec,z,r500MT,T300kpc,T300kpc-,T300kpc+,mg500,mg500_err,L52_300kpc,L52_300kpc_err,Lbol_500,Lbol_500_err,C60,F60,F60_err,Flag
XLSSC-543,543,354.863,-55.843,0.381,0.69,2.43,0.35,0.52,1.12,0.34,1.06,0.14,2.73,0.36,199,3.35,0.32,0
XLSSC-541,541,355.431,-55.965,0.188,0.81,2.68,0.29,0.28,0.88,0.15,1.05,0.06,3.16,0.2,415,6.77,0.4,0
XLSSC-508,508,355.465,-53.145,0.539,0.74,3.26,0.53,0.72,2.37,0.81,3.48,0.33,10.08,0.95,498,9.8,0.5,0
XLSSC-540,540,355.632,-56.353,0.414,0.78,3.11,0.35,0.4,1.07,0.22,4.13,0.25,12.31,0.75,483,6.53,0.36,0
XLSSC-539,539,355.797,-55.881,0.184,0.52,1.2,0.21,0.08,0.19,0.06,0.38,0.07,0.69,0.12,195,3.78,0.39,0
XLSSC-509,509,356.461,-54.044,0.633,0.81,4.17,0.83,1.14,1.07,0.26,6.61,0.64,21.49,2.07,186,3.7,0.36,0
XLSSC-510,510,357.539,-55.334,0.394,0.71,2.61,0.27,0.43,0.67,0.19,2.31,0.16,6.22,0.43,380,3.93,0.26,0
XLSSC-511,511,357.753,-55.371,0.13,0.54,1.26,0.07,0.06,0.32,0.07,0.25,0.03,0.48,0.06,247,3.5,0.28,0
XLSSC-114,114,30.425,-5.031,0.234,1.07,4.7,1.9,4.2,1.78,1.34,,,,,91,3.51,0.76,1
XLSSC-113,113,30.561,-7.009,0.05,0.56,1.2,0.1,0.0,0.16,0.03,,,,,340,11.47,0.8,1
XLSSC-115,115,32.681,-6.588,0.043,0.74,2.0,0.2,0.6,0.05,0.02,,,,,156,12.21,1.31,1
XLSSC-550,550,352.206,-52.577,0.109,0.48,1.0,0.1,0.1,0.25,0.07,,,,,156,8.77,1.06,1
XLSSC-551,551,355.444,-56.675,0.475,0.67,2.5,0.5,0.7,0.87,0.36,,,,,189,4.66,0.54,1
XLSSC-118,118,33.692,-3.941,0.14,0.63,,,,,,,,,,5144,78.77,1.17,2
XLSSC-552,552,350.629,-54.269,0.152,0.75,,,,,,,,,,3592,57.93,0.98,2
