name,z,ra,dec,chandra_id,xmm_obsid,r2500,r1000,r500,c_m2500,c_m2500_err,c_m1000,c_m1000_err,c_m500,c_m500_err,x_m2500,x_m2500_err,x_m1000,x_m1000_err,x_m500,x_m500_err,c_mg2500,c_mg2500_err,c_mg1000,c_mg1000_err,c_mg500,c_mg500_err,x_mg2500,x_mg2500_err,x_mg1000,x_mg1000_err,x_mg500,x_mg500_err,x_Tx500ce,x_Tx500ce-,x_Tx500ce+,x_Lxbol,x_Lxbol_err,r500wl
ZwCl0857.9+2107,0.235,135.154,20.8949,10463,0402250701,420.0,660.0,910.0,189000000000000.0,149000000000000.0,365000000000000.0,281000000000000.0,559000000000000.0,399000000000000.0,119000000000000.0,11000000000000.0,181000000000000.0,18000000000000.0,233000000000000.0,23000000000000.0,19000000000000.0,7600000000000.0,41200000000000.0,15100000000000.0,67500000000000.01,18700000000000.0,15400000000000.0,100000000000.0,26300000000000.0,200000000000.0,38200000000000.0,400000000000.0,4.068,0.2769999999999997,0.3070000000000004,17.624,3.1519999999999997,0.83
Abell0750,0.163,137.303,10.9741,924,0605000901,470.0,720.0,960.0,181000000000000.0,51000000000000.0,261000000000000.0,95000000000000.0,317000000000000.0,122000000000000.0,,,,,,,15400000000000.0,2000000000000.0,27700000000000.004,4100000000000.0,40600000000000.0,6100000000000.0,,,,,,,,,,,,
Abell0773,0.217,139.469,51.7273,"533,3588,5066",0084230601,560.0,880.0,1210.0,323000000000000.0,55000000000000.01,492000000000000.0,94000000000000.0,651000000000000.0,162000000000000.0,300000000000000.0,27000000000000.0,548000000000000.06,59000000000000.0,777000000000000.0,94000000000000.0,31700000000000.0,3000000000000.0,59900000000000.0,5600000000000.0,90700000000000.0,10200000000000.0,30700000000000.0,100000000000.0,58900000000000.0,200000000000.0,86900000000000.0,300000000000.0,7.525,0.6220000000000008,0.7919999999999998,18.319,6.795,1.428
Abell0781,0.298,140.103,30.5031,534,"0150620201,0401170101",310.0,730.0,1130.0,77000000000000.0,67000000000000.01,327000000000000.0,178000000000000.0,609000000000000.0,287000000000000.0,61000000000000.0,4000000000000.0,345000000000000.0,22000000000000.0,672000000000000.0,45000000000000.0,8400000000000.001,6000000000000.0,42000000000000.0,12100000000000.0,78300000000000.0,14199999999999.998,7600000000000.0,100000000000.0,42200000000000.0,100000000000.0,77100000000000.0,400000000000.0,6.631,0.4119999999999999,0.47999999999999954,11.604,6.328,1.167
ZwCl0949.6+5207,0.214,148.205,51.8846,3195,nan,410.0,660.0,930.0,124000000000000.0,8000000000000.0,203000000000000.0,14000000000000.002,290000000000000.0,20000000000000.0,,,,,,,31500000000000.0,1000000000000.0,20000000000000.0,700000000000.0,31500000000000.0,1000000000000.0,,,,,,,,,,,,
Abell0901,0.163,148.988,-9.98464,nan,0148170101,370.0,580.0,790.0,,,,,,,83000000000000.0,10000000000000.0,132000000000000.0,22000000000000.0,168000000000000.0,39000000000000.0,,,,,,,7400000000000.0,400000000000.0,13700000000000.002,1000000000000.0,20800000000000.0,2000000000000.0,2.797,0.04300000000000015,0.042999999999999705,3.581,2.7560000000000002,0.947
Abell0907,0.1669999999999999,149.592,-11.0643,"3250,3185,535","0201903501,0404910601",510.0,800.0,1080.0,233000000000000.0,38000000000000.0,350000000000000.0,59000000000000.0,436000000000000.06,74000000000000.0,205000000000000.0,12000000000000.0,365000000000000.0,37000000000000.0,517000000000000.0,64000000000000.0,23500000000000.0,1799999999999.9998,42500000000000.0,3000000000000.0,62300000000000.0,4200000000000.0005,24600000000000.0,100000000000.0,44300000000000.0,200000000000.0,64800000000000.0,400000000000.0,,,,,,
Abell0963,0.205,154.265,39.0498,903,0084230701,550.0,850.0,1140.0,268000000000000.03,45000000000000.0,466000000000000.0,75000000000000.0,680000000000000.0,108000000000000.0,241000000000000.0,14000000000000.002,405000000000000.0,40000000000000.0,560000000000000.0,71000000000000.0,61200000000000.0,3900000000000.0,40600000000000.0,2800000000000.0,61200000000000.0,3900000000000.0,27900000000000.004,100000000000.0,50000000000000.0,300000000000.0,71400000000000.0,300000000000.0,6.527,0.4969999999999999,0.6150000000000002,16.962,5.962,1.267
ZwCl1021.0+0426,0.291,155.915,4.18631,9371,0108670101,550.0,890.0,1260.0,327000000000000.0,41000000000000.0,544000000000000.06,67000000000000.01,783000000000000.0,96000000000000.0,289000000000000.0,6000000000000.0,476000000000000.0,10000000000000.0,682000000000000.0,14000000000000.002,42200000000000.0,2400000000000.0,73900000000000.0,3599999999999.9995,108200000000000.0,4800000000000.0,47300000000000.0,100000000000.0,80000000000000.0,100000000000.0,115100000000000.0,200000000000.0,7.113,0.1670000000000007,0.26099999999999923,71.073,6.034000000000001,1.13
Abell1423,0.213,179.322,33.6109,"538,11724",nan,540.0,850.0,1180.0,299000000000000.0,105000000000000.0,450000000000000.0,106000000000000.0,602000000000000.0,153000000000000.0,,,,,,,21600000000000.0,4299999999999.9995,43500000000000.0,5600000000000.0,71100000000000.0,9500000000000.0,,,,,,,,,,,,
