name,ra,dec,z,sample,alt_name,alt_samp
SDSSXCS-189,175.60401000000005,58.526312,0.33503565,SDSSRM-XCS,,
SDSSXCS-4245,177.25939,22.414408,0.16742848,SDSSRM-XCS,,
SDSSXCS-408,178.82585,23.406762,0.13608177,SDSSRM-XCS,,
SDSSXCS-10401,179.61596,26.495390000000004,0.14110902,SDSSRM-XCS,,
SDSSXCS-58896,180.92831,44.08517,0.33587107,SDSSRM-XCS,,
SDSSXCS-474,180.96914,1.7916884999999998,0.24152568,SDSSRM-XCS,,
SDSSXCS-7247,181.16076,35.375998,0.1896899,SDSSRM-XCS,,
SDSSXCS-19467,182.81342,39.196045,0.33760616,SDSSRM-XCS,,
SDSSXCS-455,184.90442,-3.3113652,0.303949,SDSSRM-XCS,,
SDSSXCS-1174,187.58269,16.277103,0.19740756,SDSSRM-XCS,,
SDSSXCS-608,187.77237,15.940957999999998,0.18406145,SDSSRM-XCS,,
SDSSXCS-1645,188.48142,15.435622,0.22812648,SDSSRM-XCS,,
SDSSXCS-225,188.5954,9.7885313,0.22960329,SDSSRM-XCS,ZwCl1231.4+1007,LoCuSS
SDSSXCS-9313,189.07545,28.983881,0.2214931,SDSSRM-XCS,,
SDSSXCS-286,189.24534,63.188315,0.31212524,SDSSRM-XCS,,
SDSSXCS-2347,189.67042,9.4769605,0.22824667,SDSSRM-XCS,,
SDSSXCS-28269,194.08956,25.768056,0.24395767,SDSSRM-XCS,,
SDSSXCS-6307,195.66685,67.47805600000001,0.106321625,SDSSRM-XCS,,
SDSSXCS-241,195.99155,67.515354,0.22120395,SDSSRM-XCS,,
SDSSXCS-893,196.49692,26.513083,0.316266,SDSSRM-XCS,,
SDSSXCS-7432,196.95654,29.430381,0.2615181,SDSSRM-XCS,,
SDSSXCS-11613,197.48658,32.372394,0.31576088,SDSSRM-XCS,,
SDSSXCS-3,197.87444,-1.3401506,0.18239772,SDSSRM-XCS,Abell1689,LoCuSS
SDSSXCS-5939,197.93809,22.035053,0.17044528,SDSSRM-XCS,,
SDSSXCS-11881,199.98092,33.314938,0.24046731,SDSSRM-XCS,,
SDSSXCS-11394,200.17352,33.178962,0.29215103,SDSSRM-XCS,,
SDSSXCS-907,200.71132,31.653187,0.32589027,SDSSRM-XCS,,
SDSSXCS-14715,201.28678,65.840952,0.18099065,SDSSRM-XCS,,
SDSSXCS-309,201.52008,12.387407,0.20602646,SDSSRM-XCS,,
SDSSXCS-457,203.14098,50.413972,0.27532956,SDSSRM-XCS,,
SDSSXCS-35,203.18417,50.545434,0.29092997,SDSSRM-XCS,Abell1758N,LoCuSS
SDSSXCS-6,203.83155,41.001386,0.23174694,SDSSRM-XCS,Abell1763,LoCuSS
SDSSXCS-176,204.2036,10.440014,0.15694562,SDSSRM-XCS,,
SDSSXCS-3672,208.30907,11.587025,0.33591652,SDSSRM-XCS,,
SDSSXCS-43,210.25825,2.877328,0.25708973,SDSSRM-XCS,Abell1835,LoCuSS
SDSSXCS-32,213.60638,-0.37802375,0.13786592,SDSSRM-XCS,,
SDSSXCS-16286,213.89545,28.393476,0.23736377,SDSSRM-XCS,,
SDSSXCS-5527,214.11563,23.25654,0.13817659,SDSSRM-XCS,,
SDSSXCS-4313,214.63388,25.184814000000006,0.31219503,SDSSRM-XCS,,
SDSSXCS-574,216.33945,63.195333,0.13845919,SDSSRM-XCS,,
SDSSXCS-65,216.50433,37.826953,0.17051592,SDSSRM-XCS,Abell1914,LoCuSS
SDSSXCS-165,217.61219,24.599226,0.13736627,SDSSRM-XCS,,
SDSSXCS-4003,217.95843,13.533210999999998,0.1631074,SDSSRM-XCS,,
SDSSXCS-2836,220.58255,22.302753,0.1050965,SDSSRM-XCS,,
SDSSXCS-210,223.05155,37.880589,0.2869105,SDSSRM-XCS,,
SDSSXCS-2288,224.3126,22.34233,0.26976523,SDSSRM-XCS,ZwCl1454.8+2233,LoCuSS
SDSSXCS-78,225.08192000000005,21.370712,0.15984783,SDSSRM-XCS,Abell2009,LoCuSS
SDSSXCS-55,227.55039,33.516138,0.119237766,SDSSRM-XCS,,
SDSSXCS-137,228.81739,4.3815383,0.10217465,SDSSRM-XCS,,
SDSSXCS-123,229.07719,0.092336076,0.12058045,SDSSRM-XCS,,
SDSSXCS-382,229.34049,-0.71535634,0.110840224,SDSSRM-XCS,,
SDSSXCS-2282,232.97661,7.3648992,0.18616623,SDSSRM-XCS,,
SDSSXCS-5624,233.76379,1.3429603,0.30530375,SDSSRM-XCS,,
SDSSXCS-19,234.92088,34.420232,0.23384607,SDSSRM-XCS,Abell2111,LoCuSS
SDSSXCS-3312,246.67607,42.671306,0.18710254,SDSSRM-XCS,,
SDSSXCS-575,249.90358,47.052785,0.22638986,SDSSRM-XCS,,
SDSSXCS-2,250.08451,46.70753,0.23276423,SDSSRM-XCS,Abell2219,LoCuSS
SDSSXCS-30950,251.92973,34.936056,0.24987537,SDSSRM-XCS,,
SDSSXCS-480,260.04102,26.62384,0.16536415,SDSSRM-XCS,RXJ1720.1+2638,LoCuSS
SDSSXCS-14,260.61258,32.132799,0.22932445,SDSSRM-XCS,Abell2261,LoCuSS
