name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r500,r500-,r500+,Tx_500,Tx_500-,Tx_500+,Lx52_500,Lx52_500-,Lx52_500+,Lx_500,Lx_500-,Lx_500+,r2500,r2500-,r2500+,Tx_2500,Tx_2500-,Tx_2500+,Lx52_2500,Lx52_2500-,Lx52_2500+,Lx_2500,Lx_2500-,Lx_2500+,richness,richness_err,XCS_NAME
SDSSXCS-124,124,0.80057775,-6.0918182,0.2474828,1181.0281588653677,21.20222143569781,23.20264066561684,6.87647,0.1228432860000001,0.156682977,4.99948114,0.0203353852793322,0.020836649881966,20.09018483,0.2099786272865635,0.1907684709425687,534.8347395564357,7.579123643784669,7.5918550377977985,7.19013,0.1147806877646484,0.1152504032353514,3.843996279,0.0147632863218167,0.0150421412772474,15.8183187,0.1532638403662822,0.1560504100755064,109.550186,4.4896803,XMMXCS J000312.1-060530.5
SDSSXCS-2789,2789,0.95553986,2.068019,0.105285384,1007.860977541492,17.194149779101533,17.20150482356459,4.61426,0.0835647599999998,0.0836632609999998,0.9998460429,0.0044658309548192,0.0045311962110106,3.259034528,0.0325521076598915,0.0369130670826232,438.7065145016488,5.198300553815697,5.2136763906669845,4.43269,0.0650297815852054,0.065420056414795,0.6814344603,0.0030633972821947,0.0028007317463684,2.179112233,0.0171520530781128,0.0185090948175501,38.904396000000006,2.8302057,XMMXCS J000349.3+020404.8
SDSSXCS-290,290,2.7226392,29.161021,0.34849474,913.0522561524374,30.87875372632984,31.20967461940793,4.81756,0.2654722450000006,0.2688478380000001,2.844316549,0.0535777676975577,0.0534677365099254,9.468884421,0.3443894055906167,0.2984953202751619,412.606576894497,11.01464388029306,11.1991640267983,5.00741,0.2248138814384761,0.2289582355615236,2.07573816,0.034854341727887,0.0392991637773327,7.045864222,0.1809827908436929,0.2014147890557938,105.09573,5.9943213,XMMXCS J001053.4+290939.6
SDSSXCS-1018,1018,4.4063253,-0.87619162,0.21440332,902.2592310706574,22.444664868394405,23.366414044883246,4.18272,0.1520678559999995,0.1611016140000005,0.7553169376,0.0078401511006996,0.008376524653372,2.349907914,0.0511817704314583,0.0542069554277819,399.2133417804768,6.774208423447786,6.81756152935538,4.14183,0.1056406194987795,0.1065732145012203,0.5995104454,0.0059202603441081,0.0059002967812641,1.856513881,0.0299810754228986,0.0288091682674302,56.996796,3.2192018,XMMXCS J001737.5-005234.2
SDSSXCS-134,134,4.9083898,3.6098177,0.27730444,1123.320736258806,19.21931229317274,19.22596396522024,6.52537,0.104617546,0.1047460290000001,4.531084681,0.0208088080930091,0.0221592049709897,17.67671902,0.1831371555437329,0.1738021970910281,510.7381628951417,8.475348732720203,7.419581202283799,6.90187,0.1557666238647463,0.1220567361352538,3.590671302,0.0152249504440624,0.0159052253982494,14.45702692,0.1490378448576361,0.1389696129628603,108.60438,4.7924843,XMMXCS J001938.0+033635.3
SDSSXCS-119,119,8.464699000000001,-7.8629006,0.3041736,944.275364291849,46.42235235743125,46.746651477282974,4.89118,0.4107132610000006,0.4138130209999993,1.917513722,0.0453188295999313,0.047116334421245,6.432022047,0.3610961060317157,0.3283487393275832,437.0088945614156,17.02276264639009,25.37367768422283,5.3685,0.3580330676965335,0.5405745893034668,1.201819769,0.0277353196963807,0.0272391185423386,4.230136675,0.178157613139354,0.1649908476965835,128.19176000000002,5.6970525,XMMXCS J003351.5-075146.4
SDSSXCS-209,209,9.2768176,9.1571879,0.26882175,1295.7321807381145,27.42441463578013,27.434079315485963,8.33772,0.1867767139999987,0.1869592320000013,4.142106103,0.0235433354580285,0.0245258824180103,18.54722864,0.2628810791251226,0.2696936327660317,579.3975409751241,9.937846235047273,10.581824410563526,8.47771,0.160673309202636,0.1858361517973641,3.257756001,0.0174367364348664,0.0177092367875184,14.73470794,0.1689402068601406,0.1708494978591197,101.70913,4.746494,XMMXCS J003706.4+090925.8
SDSSXCS-15,15,11.62825,20.467691,0.103966124,850.0812283514175,63.42599303196495,73.27358707699169,3.74253,0.4572513499999999,0.5312154020000004,0.07796857098,0.0029501435390182,0.0028067923536056,0.2305180293,0.0213009031786401,0.0180758554495056,348.6244853643526,9.090718920672677,9.160456432626342,2.90099,0.1159213173078614,0.1171259136921385,0.1683515316,0.0020852370960904,0.0022571316505388,0.4486751891,0.0112012155177625,0.0103468787987965,123.355934,3.702013,XMMXCS J004630.7+202803.6
SDSSXCS-71,71,13.996563,26.330304,0.1961017,1095.9268502098507,19.70814096965442,19.728080185766395,5.775,0.1177987720000004,0.118087816,2.448762831,0.0129762667736699,0.0128955102194887,8.945989387,0.1039868668469452,0.1090706287878138,461.9265129177959,5.861272269679073,5.892715238874391,5.23267,0.0904018483222657,0.0912213386777347,1.279228215,0.0074648786645514,0.0082245343329063,4.442048092,0.0479398766105356,0.0450894055551973,112.92153,4.16637,XMMXCS J005559.1+261949.0
SDSSXCS-5020,5020,16.061785,25.086602,0.16580287,870.993979099029,44.26373627864505,44.68765646583394,3.97491,0.3306763940000001,0.3341314929999996,0.4462322784,0.0105804786772674,0.0117776422430536,1.355623118,0.0663094494144242,0.0724668135238986,389.3580849227552,14.643400984442431,14.84526736753704,3.79352,0.2431975757548827,0.2467916132451169,0.2899655936,0.005925718206459,0.0061911264281976,0.8624635937,0.0372208035165986,0.0355596192822472,30.468397,3.0966108,XMMXCS J010414.8+250511.7
