name,planck_ra,planck_dec,xmm_ra,xmm_dec,z,r500,m500,m500+,m500-,mg500,mg500+,mg500-,Tx,Tx+,Tx-,Txce,Txce+,Txce-,Lx124,Lx124+,Lx124-,Lx124ce,Lx124ce+,Lx124ce-,Lxbol,Lxbol+,Lxbol-,Lxbolce,Lxbolce+,Lxbolce-,NT,fT,Nsb,fsb
G263.66-22.53,101.386,-54.212,101.37134,-54.227207,0.164,1297,8.59,0.65,0.45,10.52,0.29,0.21,7.1,0.18,0.18,7.22,0.28,0.28,6.55,0.23,0.23,4.08,0.11,0.11,16.83,0.88,0.88,10.48,0.47,0.47,10,1.05,34,1.12
G266.03-21.25,104.628,-55.96,104.62575,-55.940285,0.296,1499,12.56,0.34,0.34,21.79,0.22,0.23,10.57,0.26,0.26,10.66,0.34,0.34,21.79,0.68,0.68,15.16,0.38,0.38,65.46,2.9,2.9,45.55,1.78,1.78,10,1.03,59,1.32
G269.31-49.87,52.164,-55.717,52.14532,-55.71379,0.085,1098,2.65,0.41,0.23,3.19,0.26,0.16,4.82,0.25,0.25,4.93,0.39,0.39,1.62,0.08,0.08,1.07,0.03,0.03,3.34,0.25,0.25,2.2,0.14,0.14,7,0.73,34,0.83
G271.19-30.96,87.316,-62.087,87.33178,-62.087063,0.37,1250,8.38,0.68,0.53,12.8,0.49,0.52,8.22,0.24,0.24,8.8,0.46,0.46,19.29,0.67,0.67,8.19,0.03,0.03,52.15,3.21,3.21,22.16,0.49,0.49,3,0.37,17,0.54
G271.50-56.55,41.406,-53.034,41.35571,-53.02815,0.3,1200,8.07,2.11,1.51,9.79,0.75,0.61,7.1,0.71,0.71,7.02,0.91,0.91,8.44,0.62,0.62,5.18,0.35,0.35,24.85,1.97,1.97,16.3,1.21,1.21,4,0.57,36,0.83
G272.10-40.15,67.829,-61.425,67.80771,-61.454,0.059,1316,6.11,0.09,0.08,7.79,0.05,0.05,6.35,0.04,0.04,6.1,0.04,0.04,5.02,0.08,0.08,4.01,0.06,0.06,12.62,0.29,0.29,10.1,0.21,0.21,33,0.89,372,0.95
G277.75-51.73,43.596,-58.964,43.567173,-58.946575,0.44,1238,8.96,0.73,0.59,14.49,0.54,0.47,7.8,0.23,0.23,7.74,0.25,0.25,9.41,0.38,0.38,8.2,0.29,0.29,25.18,1.51,1.51,21.96,1.21,1.21,6,1.01,25,1.35
G278.60+39.17,173.003,-19.919,172.97589,-19.927876,0.307,1268,9.37,0.87,0.81,13.38,0.56,0.55,8.02,0.35,0.35,7.98,0.46,0.46,10.53,0.38,0.38,7.5,0.26,0.26,26.14,1.23,1.23,18.64,0.8,0.8,6,0.93,17,1.04
G280.19+47.81,177.455,-12.316,177.44016,-12.313069,0.156,1201,6.53,1.7,1.09,7.44,0.61,0.47,6.99,0.26,0.26,6.94,0.32,0.32,3.13,0.16,0.16,2.5,0.06,0.06,7.48,0.55,0.55,5.99,0.27,0.27,8,0.66,22,0.89
G282.49+65.17,184.411,3.652,184.41891,3.6542916,0.077,1212,5.25,0.22,0.2,6.64,0.11,0.1,5.54,0.14,0.14,5.41,0.18,0.18,2.97,0.05,0.05,2.19,0.02,0.02,6.82,0.18,0.18,5.02,0.11,0.11,16,1.05,141,1.12
G283.16-22.93,111.688,-71.624,111.66837,-71.62053,0.45,1137,7.34,1.14,0.97,10.53,0.65,0.61,7.32,0.36,0.36,7.52,0.49,0.49,9.94,0.39,0.39,6.47,0.27,0.27,26.47,1.3,1.3,17.22,0.77,0.77,3,0.99,9,1.02
G284.46+52.43,181.588,-8.81,181.5501,-8.80043,0.441,1308,10.63,0.55,0.48,16.94,0.34,0.31,9.48,0.14,0.14,9.83,0.21,0.21,20.29,0.43,0.43,12.07,0.38,0.38,63.47,1.53,1.53,37.68,1.1,1.1,7,0.98,59,1.51
G284.99-23.70,110.805,-73.457,110.8216,-73.454315,0.39,1266,10.1,1.57,1.23,14.88,0.83,0.7,7.53,0.53,0.53,7.61,0.78,0.78,17.51,0.83,0.83,9.85,0.22,0.22,41.13,2.89,2.89,23.17,1.06,1.06,3,0.36,16,0.62
G285.63-17.24,131.007,-71.214,130.9367,-71.21977,0.35,1007,6.59,1.0,1.17,8.2,0.57,0.78,5.78,0.63,0.63,5.74,0.68,0.68,3.98,0.4,0.4,3.35,0.3,0.3,7.8,1.09,1.09,6.56,0.85,0.85,1,0.86,14,0.86
G286.58-31.25,82.842,-75.164,82.86332,-75.177925,0.21,1141,5.52,0.45,0.26,7.18,0.24,0.15,5.88,0.15,0.15,5.87,0.19,0.19,4.08,0.13,0.13,3.07,0.08,0.08,9.28,0.44,0.44,7.0,0.29,0.29,7,1.01,30,1.21
G286.99+32.91,177.714,-28.074,177.70403,-28.07468,0.39,1476,12.2,0.76,0.7,22.08,0.62,0.57,10.62,0.69,0.69,10.47,0.73,0.73,19.86,0.77,0.77,15.63,0.53,0.53,62.75,4.77,4.77,49.38,3.45,3.45,5,1.03,12,1.09
G288.61-37.65,58.129,-74.005,58.135506,-74.03583,0.127,1301,4.0,0.7,0.48,7.35,0.67,0.5,3.09,0.93,0.93,2.38,1.1,1.1,5.26,0.32,0.32,3.6,0.19,0.19,12.77,1.0,1.0,8.75,0.61,0.61,5,1.03,33,1.06
G292.51+21.98,180.249,-39.861,180.27066,-39.874153,0.3,1147,8.03,0.49,0.44,11.39,0.29,0.27,7.53,0.88,0.88,7.22,0.5,0.5,6.41,0.36,0.36,5.65,0.3,0.3,15.97,1.25,1.25,14.08,1.06,1.06,6,0.69,33,1.05
G294.66-37.02,46.003,-77.884,45.9243,-77.878334,0.274,1253,7.2,0.59,0.39,9.88,0.36,0.26,7.88,0.3,0.3,7.8,0.39,0.39,8.05,0.44,0.44,5.93,0.28,0.28,22.32,2.01,2.01,16.46,1.37,1.37,4,0.97,14,1.09
G304.67-31.66,354.822,-85.213,355.01334,-85.1962,0.193,1020,4.16,1.1,0.79,5.38,0.76,0.61,5.15,0.69,0.69,5.22,0.96,0.96,2.41,0.46,0.46,2.15,0.43,0.43,4.54,1.07,1.07,4.02,1.0,1.0,2,0.67,5,0.9
G304.84-41.42,7.086,-75.62,7.024289,-75.635864,0.41,1184,8.28,0.64,0.6,11.41,0.38,0.35,9.47,1.31,1.31,8.73,1.22,1.22,10.21,0.26,0.26,7.14,0.35,0.35,23.76,1.16,1.16,16.56,0.91,0.91,2,0.95,6,0.95
G306.68+61.06,194.675,-1.756,194.67268,-1.7620971,0.085,1102,3.93,0.13,0.31,5.03,0.07,0.17,5.0,0.1,0.1,4.78,0.15,0.15,3.93,0.07,0.07,2.32,0.01,0.01,8.36,0.19,0.19,4.93,0.05,0.05,22,1.02,144,1.02
G306.80+58.60,194.879,-4.203,194.84247,-4.198014,0.085,1181,4.6,0.26,0.16,5.82,0.14,0.09,5.64,0.11,0.11,5.58,0.15,0.15,4.46,0.07,0.07,2.61,0.04,0.04,10.62,0.22,0.22,6.23,0.1,0.1,17,0.98,72,1.04
G308.32-20.23,229.587,-81.523,229.73483,-81.508896,0.48,1208,8.61,1.22,0.98,10.52,0.57,0.48,8.95,0.84,0.84,7.4,0.7,0.7,17.31,1.14,1.14,10.39,0.43,0.43,67.99,7.98,7.98,40.9,3.79,3.79,3,0.66,21,0.66
